dtg,cpu util%,mem util%
2020-04-19 12:25:37+00:00,2.07,0.27
2020-04-19 12:26:37+00:00,2.07,0.27
2020-04-19 12:27:37+00:00,2.07,0.27
2020-04-19 12:28:37+00:00,2.07,0.27
2020-04-19 12:29:37+00:00,2.07,0.27
2020-04-19 12:30:37+00:00,2.08,0.27
2020-04-19 12:31:37+00:00,2.08,0.27
2020-04-19 12:32:37+00:00,2.08,0.27
2020-04-19 12:33:37+00:00,2.08,0.27
2020-04-19 12:34:37+00:00,2.08,0.27
2020-04-19 12:35:37+00:00,2.07,0.27
2020-04-19 12:36:37+00:00,2.07,0.27
2020-04-19 12:37:37+00:00,2.07,0.27
2020-04-19 12:38:37+00:00,2.07,0.27
2020-04-19 12:39:37+00:00,2.07,0.27
2020-04-19 12:40:36+00:00,2.07,0.27
2020-04-19 12:41:36+00:00,2.07,0.27
2020-04-19 12:42:36+00:00,2.07,0.27
2020-04-19 12:43:37+00:00,2.07,0.27
2020-04-19 12:44:37+00:00,2.07,0.27
2020-04-19 12:45:37+00:00,2.07,0.27
2020-04-19 12:46:37+00:00,2.06,0.27
2020-04-19 12:47:37+00:00,2.06,0.27
2020-04-19 12:48:37+00:00,2.06,0.27
2020-04-19 12:49:37+00:00,2.06,0.27
2020-04-19 12:50:37+00:00,2.06,0.27
2020-04-19 12:51:37+00:00,2.06,0.27
2020-04-19 12:52:37+00:00,2.06,0.27
2020-04-19 12:53:37+00:00,2.06,0.27
