area,type,lsa_id,adv_rtr,seq_num,age_sec,options,chksum,length
0.0.0.1,Router,10.255.70.103,10.255.70.103,0x80000002,215,0x20,0x4112,48
0.0.0.1,Router,10.255.71.242,10.255.71.242,0x80000002,214,0x20,0x11b1,48
0.0.0.1,Summary,23.1.1.0,10.255.71.242,0x80000002,172,0x20,0x6d72,28
0.0.0.1,Summary,24.1.1.0,10.255.71.242,0x80000002,177,0x20,0x607e,28
0.0.0.1,NSSA,33.1.1.1,10.255.71.242,0x80000002,217,0x20,0x73bd,36
0.0.0.2,Router,10.255.71.52,10.255.71.52,0x80000004,174,0x20,0xd021,36
0.0.0.2,Router,10.255.71.242,10.255.71.242,0x80000003,173,0x20,0xe191,36
0.0.0.2,Network,23.1.1.1,10.255.71.242,0x80000002,173,0x20,0x9c76,32
0.0.0.2,Summary,12.1.1.0,10.255.71.242,0x80000001,217,0x20,0xfeec,28
0.0.0.2,Summary,24.1.1.0,10.255.71.242,0x80000002,177,0x20,0x607e,28
0.0.0.2,NSSA,33.1.1.1,10.255.71.242,0x80000001,222,0x28,0xe047,36
0.0.0.3,Router,10.255.71.238,10.255.71.238,0x80000003,179,0x20,0x3942,36
0.0.0.3,Router,10.255.71.242,10.255.71.242,0x80000003,177,0x20,0xf37d,36
0.0.0.3,Network,24.1.1.1,10.255.71.242,0x80000002,177,0x20,0xc591,32
0.0.0.3,Summary,12.1.1.0,10.255.71.242,0x80000001,217,0x20,0xfeec,28
0.0.0.3,Summary,23.1.1.0,10.255.71.242,0x80000002,172,0x20,0x6d72,28
0.0.0.3,NSSA,33.1.1.1,10.255.71.242,0x80000001,222,0x20,0xeb3b,36
